pre_lon,pre_lat,pre_delta_time,post_delta_time,pre_sar_date,post_sar_date,pre_HV_db,post_HV_db,pre_agbd,post_agbd,sar_status,hansen_loss_min,hansen_loss_max,hansen_loss_mode,v2c_drop_reason,passes_v2c
-71.112195055671,-3.7814198891713886,64363183.556055,161645685.601363,2020-02-03 16:27:18.062000+00:00,2023-01-30 16:27:20.197000+00:00,-13.133902434297454,-13.789256220080063,174.406097,44.270882,ok,20.0,20.0,20.0,,True
-71.3234788104959,-4.40152692979909,59987370.641385,136017448.499657,2019-11-11 16:27:16.536000+00:00,2022-04-25 16:27:18.027000+00:00,-11.380228954046544,-15.940805579299493,112.782867,43.769939,ok,20.0,21.0,20.0,edge,False
-71.33371960473487,-6.820779821461372,49063171.2333,134401986.769637,2019-07-08 16:27:54.481000+00:00,2022-04-25 16:27:58.827000+00:00,-10.232201860622183,-11.079973621920374,168.702377,129.407242,ok,20.0,20.0,20.0,,True
-71.33425859390533,-6.821588305217077,49063171.216772,134401986.753109,2019-07-08 16:27:54.481000+00:00,2022-04-25 16:27:58.827000+00:00,-10.972149471221343,-10.384999903688055,219.503174,40.908798,ok,20.0,20.0,20.0,,True
-71.20382321465118,-7.538982891114927,51148252.002381,160286483.211525,2019-08-19 16:27:55.989000+00:00,2023-01-30 16:28:00.998000+00:00,-11.413235670469533,-11.482485942741476,265.957642,170.355011,ok,20.0,21.0,21.0,edge,False
-71.20301473089548,-7.540060869455871,51148252.018913,160286483.236317,2019-08-19 16:27:55.989000+00:00,2023-01-30 16:28:00.998000+00:00,-17.071886209081413,-11.370224727192962,449.648743,38.03781509399414,ok,5.0,21.0,21.0,edge,False
-71.46469397315948,-7.7820670069976785,54718210.504064,145621547.009729,2019-09-25 16:21:39.149000+00:00,2022-08-10 16:21:41.860000+00:00,-11.72849180784624,-14.483611642415099,116.418587,26.299301147460938,ok,20.0,22.0,20.0,edge,False
-71.3490807960933,-7.967209787054713,54718213.58257,126751958.910407,2019-09-25 16:21:39.149000+00:00,2022-01-26 16:21:03.076000+00:00,-11.05982688590018,-11.06735444896357,261.439331,54.365261,ok,22.0,22.0,22.0,timing,False
-71.41160353986803,-7.992811772652118,49873440.299841,144817027.739775,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-14.943445084078107,-18.963430537839102,0.9960669875144958,7.648985862731934,ok,18.0,20.0,20.0,edge,False
-71.4339715904426,-7.96181989534999,49873439.688249,144817027.128204,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-13.590789901796626,-10.787411286195223,110.076622,110.92391967773438,ok,22.0,24.0,22.0,edge,False
